order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,item_count,total_item_price,total_freight,product_id,product_category_name_english,total_payment_value,payment_installments,payment_type,review_score,order_revenue,purchase_month,purchase_year,purchase_dow,purchase_hour,delivery_days_actual,delivery_delay
ord_0,cust_661,delivered,2023-04-12,2023-04-12 14:00:00,2023-04-13,2023-04-24,2023-04-22,u_cust_661,8648,Salvador,BA,8648,-22.421281989409763,-46.02993546297984,Unknown,Unknown,,,,,,451.9510613178818,2,credit_card,2.0,,4,2023,2,0,12,2
ord_1,cust_82,delivered,2023-09-24,2023-09-24 17:00:00,2023-09-25,2023-10-07,2023-10-04,u_cust_82,3027,Rio de Janeiro,BA,3027,-22.935100782768277,-46.84362638746669,Unknown,Unknown,1.0,53.50375274947987,16.80372191229978,prod_9,health_beauty,737.3503959773692,6,boleto,5.0,70.30747466177965,9,2023,6,0,13,3
ord_2,cust_621,delivered,2023-12-21,2023-12-21 18:00:00,2023-12-22,2023-12-23,2023-12-31,u_cust_621,4636,Belo Horizonte,MG,4636,-22.65233432924113,-46.446223437400754,Unknown,Unknown,,,,,,488.94981155526654,8,debit_card,4.0,,12,2023,3,0,2,-8
ord_3,cust_425,delivered,2023-04-20,2023-04-20 13:00:00,2023-04-21,2023-05-03,2023-04-30,u_cust_425,3082,Rio de Janeiro,BA,3082,-22.66125873704652,-46.15508591498175,Unknown,Unknown,1.0,357.43602855047334,6.367081097950813,prod_13,computers_accessories,949.4188196942382,1,credit_card,1.0,363.80310964842414,4,2023,3,0,13,3
ord_4,cust_274,delivered,2023-11-26,2023-11-26 20:00:00,2023-11-28,2023-12-02,2023-12-06,u_cust_274,4444,Sao Paulo,SP,4444,-22.94658623675045,-46.43847540122685,Unknown,Unknown,1.0,44.21867389765939,15.159338369376265,prod_42,bed_bath_table,346.12803180543,9,credit_card,3.0,59.37801226703566,11,2023,6,0,6,-4
ord_5,cust_712,delivered,2023-09-22,2023-09-22 20:00:00,2023-09-23,2023-10-03,2023-10-02,u_cust_712,7937,Rio de Janeiro,RJ,7937,-22.29929542381263,-46.98527610813867,Unknown,Unknown,,,,,,805.7283876667964,5,debit_card,5.0,,9,2023,4,0,11,1
ord_6,cust_283,delivered,2023-01-03,2023-01-03 21:00:00,2023-01-04,2023-01-11,2023-01-13,u_cust_283,1190,Sao Paulo,SP,1190,-22.10460373235656,-46.72218050529462,Unknown,Unknown,1.0,163.05887940533648,17.63193841090673,prod_25,sports_leisure,1529.6100805968729,5,voucher,5.0,180.69081781624323,1,2023,1,0,8,-2
ord_7,cust_172,delivered,2023-03-26,2023-03-26 18:00:00,2023-03-28,2023-03-29,2023-04-05,u_cust_172,2707,Rio de Janeiro,RJ,2707,-22.915707811562587,-46.549559004574064,Unknown,Unknown,1.0,492.37706423659387,36.09281148205801,prod_4,bed_bath_table,523.9425569716275,5,debit_card,4.0,528.4698757186519,3,2023,6,0,3,-7
ord_8,cust_326,delivered,2023-10-09,2023-10-09 04:00:00,2023-10-10,2023-10-20,2023-10-19,u_cust_326,5495,Sao Paulo,BA,5495,-22.781019770108443,-46.07671758429686,Unknown,Unknown,1.0,213.9086159854801,19.74970426285485,prod_46,watches_gifts,877.253154589782,6,debit_card,1.0,233.65832024833497,10,2023,0,0,11,1
ord_9,cust_717,delivered,2023-11-24,2023-11-24 01:00:00,2023-11-26,2023-12-03,2023-12-04,u_cust_717,5143,Sao Paulo,RJ,5143,-22.31114813769933,-46.10441681000882,Unknown,Unknown,,,,,,363.26225927380256,2,voucher,2.0,,11,2023,4,0,9,-1
ord_10,cust_62,delivered,2023-10-31,2023-10-31 18:00:00,2023-11-02,2023-11-05,2023-11-10,u_cust_62,2016,Salvador,SP,2016,-22.230563338398905,-46.29850938447064,Unknown,Unknown,1.0,393.1196067594528,9.41260318531059,prod_25,sports_leisure,663.996832909396,6,boleto,5.0,402.5322099447634,10,2023,1,0,5,-5
ord_11,cust_72,delivered,2023-04-27,2023-04-27 01:00:00,2023-04-28,2023-05-10,2023-05-07,u_cust_72,7331,Rio de Janeiro,MG,7331,-22.92694135396722,-46.93176231689696,Unknown,Unknown,1.0,350.43261954049126,5.812709889198223,prod_33,sports_leisure,663.0184242296443,4,boleto,5.0,356.2453294296895,4,2023,3,0,13,3
ord_12,cust_762,delivered,2023-08-09,2023-08-09 13:00:00,2023-08-11,2023-08-13,2023-08-19,u_cust_762,7371,Sao Paulo,SP,7371,-22.5377447571559,-46.727405713620016,Unknown,Unknown,1.0,415.9218365099552,40.85816795474554,prod_9,health_beauty,324.5917025182697,8,boleto,5.0,456.7800044647007,8,2023,2,0,4,-6
ord_13,cust_635,delivered,2023-06-03,2023-06-03 20:00:00,2023-06-04,2023-06-14,2023-06-13,u_cust_635,8239,Salvador,RJ,8239,-22.854910553360863,-46.82144714071509,Unknown,Unknown,3.0,276.1149134200721,114.38938395023874,prod_10,bed_bath_table,784.3545869958698,9,voucher,5.0,390.50429737031084,6,2023,5,0,11,1
ord_14,cust_374,delivered,2023-06-02,2023-06-02 20:00:00,2023-06-03,2023-06-14,2023-06-12,u_cust_374,1559,Belo Horizonte,BA,1559,-22.538858222119305,-46.757764339924194,Unknown,Unknown,,,,,,403.0655489949915,9,credit_card,4.0,,6,2023,4,0,12,2
ord_15,cust_632,delivered,2023-01-12,2023-01-12 23:00:00,2023-01-14,2023-01-21,2023-01-22,u_cust_632,5544,Sao Paulo,BA,5544,-22.864772149044835,-46.67597204436616,Unknown,Unknown,1.0,146.72616611450866,43.71139788798669,prod_31,computers_accessories,1276.688007766491,8,voucher,1.0,190.43756400249535,1,2023,3,0,9,-1
ord_16,cust_507,delivered,2023-05-13,2023-05-13 10:00:00,2023-05-15,2023-05-16,2023-05-23,u_cust_507,7313,Rio de Janeiro,SP,7313,-22.660925851518225,-46.11489501490948,Unknown,Unknown,1.0,299.29532792225973,38.422467373388784,prod_45,sports_leisure,753.2899799681543,3,debit_card,5.0,337.7177952956485,5,2023,5,0,3,-7
ord_17,cust_786,delivered,2023-10-31,2023-10-31 11:00:00,2023-11-01,2023-11-12,2023-11-10,u_cust_786,1005,Belo Horizonte,BA,1005,-22.324108111291707,-46.57696382091782,Unknown,Unknown,2.0,755.3193169620056,15.891547348880593,prod_27,computers_accessories,431.7734200851269,4,voucher,2.0,771.2108643108862,10,2023,1,0,12,2
ord_18,cust_397,delivered,2023-10-20,2023-10-20 09:00:00,2023-10-22,2023-11-01,2023-10-30,u_cust_397,3849,Salvador,MG,3849,-22.16533147821029,-46.73655724060319,Unknown,Unknown,5.0,1283.3120812100576,105.94205380009461,prod_10,bed_bath_table,924.6710528280362,1,credit_card,2.0,1389.2541350101521,10,2023,4,0,12,2
ord_19,cust_119,delivered,2023-10-27,2023-10-27 09:00:00,2023-10-29,2023-11-10,2023-11-06,u_cust_119,9755,Belo Horizonte,SP,9755,-22.106970041914032,-46.2664416470645,Unknown,Unknown,1.0,300.4734712461003,36.794741102727215,prod_37,computers_accessories,212.7247448465167,9,credit_card,3.0,337.26821234882755,10,2023,4,0,14,4
